Order ID,Customer Name,Food Item,Category,Quantity,Price,Payment Method,Order Time,customer_id,email,country,age,signup_date,marketing_opt_in
3160,Margaret Wells,Pasta,Main,1,3.37,Credit Card,2025-03-04 07:41:41,5592.0,qolson@example.net,US,67.0,2020-10-12,True
4626,George Smith,Fries,Starter,3,3.44,Credit Card,2025-05-05 08:56:44,5760.0,nkidd@example.net,ES,59.0,2023-12-11,False
8170,Anna Smith,Pasta,Main,3,21.48,Cash,2025-05-28 17:07:49,3847.0,ydeleon@example.com,FR,66.0,2023-12-17,True
9769,Scott Clark,Burger,Main,2,17.22,Cash,2025-05-28 22:37:55,12912.0,jasmineyoung@example.com,AU,31.0,2025-02-25,False
4707,Robert Simmons,Soup,Starter,3,24.45,Cash,2025-08-06 13:59:04,5980.0,lindsey67@example.com,AU,26.0,2020-03-07,True
6841,Amy Ellis,Brownie,Dessert,5,5.97,Credit Card,2025-08-12 09:36:10,13272.0,williamsonlisa@example.org,BR,59.0,2025-03-22,False
9332,Michelle Rodriguez,Soup,Starter,3,14.6,Online Payment,2025-01-21 23:18:26,10365.0,tammyhernandez@example.org,SE,72.0,2022-12-04,True
8800,Margaret Lopez,Soup,Starter,1,21.58,Cash,2025-06-26 13:08:04,9594.0,jhendrix@example.org,AE,25.0,2025-05-21,True
4925,Lauren Freeman,Brownie,Dessert,5,12.99,Online Payment,2025-06-26 13:27:06,12484.0,stuart62@example.org,IN,67.0,2021-06-29,False
6565,Brandy Lewis,Cake,Dessert,4,6.61,Debit Card,2025-05-30 18:14:36,11362.0,cassandra09@example.org,FR,27.0,2024-07-04,False
1430,James Jones,Soup,Starter,1,17.38,Credit Card,2025-06-09 09:53:31,11306.0,nramos@example.org,NL,39.0,2022-07-21,True
1430,James Jones,Soup,Starter,1,17.38,Credit Card,2025-06-09 09:53:31,17327.0,hriggs@example.net,IN,67.0,2020-08-28,True
1430,James Jones,Soup,Starter,1,17.38,Credit Card,2025-06-09 09:53:31,19188.0,leslieponce@example.com,IN,34.0,2025-08-16,False
4860,Eric Garcia,Ice Cream,Dessert,3,8.02,Debit Card,2025-02-01 04:21:21,1577.0,mpeterson@example.net,NL,53.0,2024-10-04,True
4860,Eric Garcia,Ice Cream,Dessert,3,8.02,Debit Card,2025-02-01 04:21:21,5819.0,josephlee@example.org,BR,38.0,2022-05-24,False
4860,Eric Garcia,Ice Cream,Dessert,3,8.02,Debit Card,2025-02-01 04:21:21,14773.0,kaylakidd@example.org,JP,62.0,2020-09-04,True
